file,isn,business_key,rule,fields,outcome,message
NCCUSTOMER,217,10000333,CR-06,EMAIL,flag,3 distinct EMAIL occurrences; only EMAIL(1) is read by code
NCCUSTOMER,218,10000334,CR-06,EMAIL,flag,EMAIL occurrence(s) without a valid address shape: ['not-an-address']
NCCUSTOMER,219,10000335,CR-06,EMAIL,flag,no EMAIL occurrence populated (login-by-email path unusable)
NCCUSTOMER,220,10000341,CR-07,PHONE;AREA-CODE;PHONE-NUMBER,flag,"3 PHONE occurrences; DDM documents 2 (private, company)"
NCCUSTOMER,221,10000342,CR-07,PHONE;AREA-CODE;PHONE-NUMBER,flag,PHONE(1) has AREA-CODE but no PHONE-NUMBER
NCCUSTOMER,222,10000343,CR-07,PHONE;AREA-CODE;PHONE-NUMBER,flag,PHONE(1).PHONE-NUMBER '12-34-AB' is not digits/spaces
NCCUSTOMER,223,10000351,CR-08,ZIP-CODE,correct,ZIP-CODE ' 12345 ' trimmed
NCCUSTOMER,224,10000352,CR-08,ZIP-CODE,flag,ZIP-CODE blank while other address fields are populated
NCCUSTOMER,225,10000353,CR-08,ZIP-CODE,flag,ZIP-CODE '??/12' outside expected alphanumeric shape
NCCUSTOMER,226,10000354,CR-09,COUNTRY,correct,COUNTRY 'deu' normalised to upper case
NCCUSTOMER,227,10000355,CR-09,COUNTRY,flag,COUNTRY 'Germany' is not a 3-letter code
NCCUSTOMER,228,10000356,CR-09,COUNTRY,flag,COUNTRY blank; HCM address needs a country code
NCCUSTOMER,229,10000361,CR-05,SEX,flag,SEX 'X' outside DDM-documented domain M/F
NCCONTRACT,51,500150,CR-14,CONTRACT-ID,flag,CONTRACT-ID 500150 duplicated; survivor
NCCONTRACT,302,500901,CR-01,ID-CUSTOMER,reject,ID-CUSTOMER 99999900 has no NCCUSTOMER.PERSON-ID
NCCONTRACT,303,500902,CR-01,ID-CUSTOMER,reject,ID-CUSTOMER 99999901 has no NCCUSTOMER.PERSON-ID
NCCONTRACT,304,500903,CR-01,ID-CUSTOMER,reject,ID-CUSTOMER 99999902 has no NCCUSTOMER.PERSON-ID
NCCONTRACT,305,500904,CR-01,ID-CUSTOMER,reject,ID-CUSTOMER 99999903 has no NCCUSTOMER.PERSON-ID
NCCONTRACT,306,500911,CR-02,ID-CRUISE,reject,ID-CRUISE 8800 has no NCCRUISE.CRUISE-ID
NCCONTRACT,307,500912,CR-02,ID-CRUISE,reject,ID-CRUISE 8801 has no NCCRUISE.CRUISE-ID
NCCONTRACT,308,500913,CR-02,ID-CRUISE,reject,ID-CRUISE 8802 has no NCCRUISE.CRUISE-ID
NCCONTRACT,309,500921,CR-01,ID-CUSTOMER,reject,ID-CUSTOMER 99999999 has no NCCUSTOMER.PERSON-ID
NCCONTRACT,309,500921,CR-02,ID-CRUISE,reject,ID-CRUISE 8899 has no NCCRUISE.CRUISE-ID
NCCONTRACT,310,500150,CR-14,CONTRACT-ID,reject,CONTRACT-ID 500150 duplicated; later occurrence (ISN 310)
NCCONTRACT,311,500931,CR-15,DATE-BOOKING,reject,DATE-BOOKING 20260231 is not a valid YYYYMMDD date
NCCONTRACT,312,500932,CR-15,DATE-BOOKING,flag,DATE-BOOKING 20271001 is after the as-of date
